energy,x,time
34.1404929592, 360.019428832, 0.3113239725
8.68682197214, 128.626800171, 0.313818588757
8.88508441266, 318.588309381, 0.316757754182
14.7271963494, 27.6366879933, 0.318052157638
22.9860242325, 54.591809686, 0.321101644002
25.2438477302, 338.021140637, 0.323439955543
24.8455422327, 343.816383299, 0.326596310735
14.3678857844, 136.936336079, 0.329422938491
29.2839950516, 165.398967873, 0.33104795613
23.9290646362, 119.526111926, 0.333549121165
18.0708864897, 56.5691834607, 0.336524607516
10.6736874737, 76.9819994101, 0.339516801115
17.8330955409, 351.647189455, 0.340326793785
25.4803409785, 288.353198736, 0.343827318471
8.59459058071, 304.194906032, 0.345943239348
24.5821375224, 163.042678877, 0.347545810519
13.5582450632, 61.9206851416, 0.350226760544
6.06347137338, 32.7167507436, 0.353417239033
