time_SN_vis, pmt_vis,x_vis,y_vis,z_vis,event_vis
15265.3797824, 13.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.4300084, 17.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.4536793, 18.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.3661783, 19.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.3972706, 34.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.3872124, 38.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.4563703, 39.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.3894898, 55.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.36261, 57.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.4585933, 73.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.3684243, 79.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.4919647, 88.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.4697535, 89.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
15265.4273048, 96.0, 166.257192775, -503.41939948, 1135.69359945, 6.0
19038.9462134, 5.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9368627, 9.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9318827, 9.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9154857, 9.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9298316, 11.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9177502, 18.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8969616, 19.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9710357, 22.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9675818, 26.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.942616, 28.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.910606, 28.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9470188, 30.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9115455, 32.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8861008, 33.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9239207, 33.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9014221, 34.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8933635, 35.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8786228, 36.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9146256, 36.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8895796, 37.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9261082, 37.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9057273, 38.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8746729, 38.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8807215, 39.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9017399, 39.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.934837, 46.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9403503, 50.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8999275, 52.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8888436, 53.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9234723, 54.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9240277, 54.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.966472, 54.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8821159, 54.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9193616, 55.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9186847, 55.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9195842, 55.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8920155, 56.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8831847, 56.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8833251, 58.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8818251, 58.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9063682, 58.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9337769, 59.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8865104, 59.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8994808, 59.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9742718, 72.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.934148, 73.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9301491, 75.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8866248, 78.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8876255, 78.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9083806, 79.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9173449, 87.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9185181, 91.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8983082, 97.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.8923411, 98.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9999451, 104.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9343686, 105.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9057254, 107.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9492375, 108.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9278339, 113.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9487099, 115.0, 290.738898733, -544.355488182, 808.216084385, 7.0
19038.9328911, 116.0, 290.738898733, -544.355488182, 808.216084385, 7.0
20938.5361576, 2.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20939.301883, 2.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.55103, 2.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5087328, 3.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.55903, 6.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5540876, 6.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5398171, 8.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5243835, 8.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.6022662, 8.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5200176, 8.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.6928236, 8.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5267969, 8.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5374323, 9.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5189515, 9.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5455671, 10.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.526901, 10.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.8852706, 11.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5378859, 11.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5295857, 11.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20939.008569, 12.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5539543, 12.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5944924, 12.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5207953, 13.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5508535, 13.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5904818, 14.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5983007, 14.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5193736, 15.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5314131, 16.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20939.1634633, 17.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.6837149, 17.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5301641, 19.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5512062, 20.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5544742, 20.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5221881, 22.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20939.0933247, 24.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.614806, 24.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5394282, 24.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5338724, 25.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.9099812, 25.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5234844, 25.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5139893, 26.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5403947, 26.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20939.6957436, 26.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5500785, 27.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5474743, 27.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5486084, 27.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.585308, 27.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5835231, 27.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5168852, 28.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.7894831, 28.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.913269, 28.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.536688, 29.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5641603, 29.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5403451, 29.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5096395, 30.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5065628, 30.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20939.7353885, 30.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.6655435, 30.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5268375, 31.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5347847, 31.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5212288, 32.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5581656, 33.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5683675, 33.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
20938.5151963, 33.0, 348.917408162, 57.9369577807, 1079.14236705, 8.0
