time_SN_vuv, pmt_vuv,x_vuv,y_vuv,z_vuv,event_vuv
41441.8233902, 64.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.4618496, 65.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.3829399, 68.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.4180797, 68.0, 70.049118096, 249.851208575, 868.394157399, 16.0
41441.4811885, 71.0, 70.049118096, 249.851208575, 868.394157399, 16.0
43923.4555162, 24.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.3427162, 24.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.353162, 41.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2601792, 45.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.1953699, 45.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2384453, 45.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.236143, 47.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.4105266, 47.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2191228, 48.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2594554, 48.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2329103, 48.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2051682, 48.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2030349, 49.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2532684, 49.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2224642, 49.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.1900521, 49.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.20767, 50.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2200035, 50.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2061565, 51.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2240205, 53.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2822893, 62.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2707152, 62.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.197082, 67.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2417193, 67.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2700386, 67.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2196194, 68.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2040811, 68.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.1870899, 68.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2181138, 68.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.1861055, 68.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.1933309, 69.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2457858, 69.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.1803437, 69.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2291023, 69.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.1877073, 70.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.252827, 70.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2208792, 71.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
43923.2530551, 71.0, 68.036447258, 44.3235855694, 662.405293519, 17.0
46908.1743613, 22.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.1549489, 23.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.2032883, 24.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.2287115, 40.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.243707, 41.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.2065667, 41.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.1945135, 42.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.1006695, 42.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.1037343, 42.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.210264, 42.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.1589391, 42.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.1118737, 43.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.1426091, 43.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.0881486, 43.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.0976334, 44.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.1449557, 44.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.0834062, 44.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.1341951, 45.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.0839693, 45.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.1283251, 49.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.1019018, 61.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.2180297, 61.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.1105484, 62.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.1664964, 62.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.1104708, 62.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.1332505, 62.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.104128, 63.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.1329853, 64.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.115014, 65.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.0940507, 65.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.2446898, 65.0, 94.134083834, 352.84777626, 699.197129107, 18.0
46908.1358934, 66.0, 94.134083834, 352.84777626, 699.197129107, 18.0
