time,pmt,x,y,z,event
8750.07106469, 50.0, 186.5, -29.0, 700.0, 3.0
8750.14123064, 50.0, 186.5, -29.0, 700.0, 3.0
8750.2290259, 51.0, 186.5, -29.0, 700.0, 3.0
8750.04824775, 51.0, 186.5, -29.0, 700.0, 3.0
8750.15713506, 51.0, 186.5, -29.0, 700.0, 3.0
8750.06200432, 51.0, 186.5, -29.0, 700.0, 3.0
8750.20280337, 52.0, 186.5, -29.0, 700.0, 3.0
8750.13724748, 52.0, 186.5, -29.0, 700.0, 3.0
8750.08162986, 52.0, 186.5, -29.0, 700.0, 3.0
8750.04306468, 53.0, 186.5, -29.0, 700.0, 3.0
8750.10837468, 53.0, 186.5, -29.0, 700.0, 3.0
8750.33889656, 53.0, 186.5, -29.0, 700.0, 3.0
8750.1147645, 53.0, 186.5, -29.0, 700.0, 3.0
8750.09161086, 54.0, 186.5, -29.0, 700.0, 3.0
8750.10893492, 54.0, 186.5, -29.0, 700.0, 3.0
8750.09324988, 64.0, 186.5, -29.0, 700.0, 3.0
8750.13941764, 65.0, 186.5, -29.0, 700.0, 3.0
8750.12545106, 65.0, 186.5, -29.0, 700.0, 3.0
8750.10211186, 66.0, 186.5, -29.0, 700.0, 3.0
8750.08908004, 67.0, 186.5, -29.0, 700.0, 3.0
8750.08131594, 67.0, 186.5, -29.0, 700.0, 3.0
8750.08872954, 68.0, 186.5, -29.0, 700.0, 3.0
8750.0875431, 69.0, 186.5, -29.0, 700.0, 3.0
8750.13195762, 69.0, 186.5, -29.0, 700.0, 3.0
8750.16279396, 70.0, 186.5, -29.0, 700.0, 3.0
8750.11568456, 70.0, 186.5, -29.0, 700.0, 3.0
8750.04311021, 71.0, 186.5, -29.0, 700.0, 3.0
8750.14954087, 71.0, 186.5, -29.0, 700.0, 3.0
8750.07129853, 71.0, 186.5, -29.0, 700.0, 3.0
8750.14218121, 72.0, 186.5, -29.0, 700.0, 3.0
8750.04009763, 72.0, 186.5, -29.0, 700.0, 3.0
8750.10261668, 73.0, 186.5, -29.0, 700.0, 3.0
8750.09638445, 73.0, 186.5, -29.0, 700.0, 3.0
8750.09417564, 73.0, 186.5, -29.0, 700.0, 3.0
8750.10754834, 74.0, 186.5, -29.0, 700.0, 3.0
8750.11362066, 75.0, 186.5, -29.0, 700.0, 3.0
8750.08654595, 90.0, 186.5, -29.0, 700.0, 3.0
8750.12531213, 90.0, 186.5, -29.0, 700.0, 3.0
8750.22628664, 113.0, 186.5, -29.0, 700.0, 3.0
11250.1732595, 12.0, 186.5, -29.0, 700.0, 4.0
11250.1899013, 12.0, 186.5, -29.0, 700.0, 4.0
11250.113138, 26.0, 186.5, -29.0, 700.0, 4.0
11250.0839469, 26.0, 186.5, -29.0, 700.0, 4.0
11250.070808, 27.0, 186.5, -29.0, 700.0, 4.0
11250.138407, 31.0, 186.5, -29.0, 700.0, 4.0
11250.1041826, 31.0, 186.5, -29.0, 700.0, 4.0
11250.1822103, 31.0, 186.5, -29.0, 700.0, 4.0
11250.2010657, 32.0, 186.5, -29.0, 700.0, 4.0
11250.4974429, 32.0, 186.5, -29.0, 700.0, 4.0
